estado;punto;tipo_cod;tipo;letra;numero;agenda;fecha;vencimiento;importe;cancelado;moneda_cod;importe_moneda;cancelado_moneda
0x9d;01900;02;FA;A;00000274;00000218;2026-09-16;2026-09-16;375.21;375.21;0;0.0;0.0
0x9d;00003;02;FA;A;00001370;00000028;2026-09-16;2026-09-16;844743.6;0.0;1;552.12;0.0
0x9d;00003;02;FA;A;00001371;00000281;2026-09-16;2026-09-16;127571.4;0.0;1;83.38;0.0
0x9d;01900;02;FA;A;00000275;00000136;2026-09-16;2026-09-16;912.37;0.0;0;0.0;0.0
0x9d;00003;02;FA;A;00001372;00000005;2026-09-16;2026-09-16;65790.0;0.0;1;43.0;0.0
0x9d;00003;02;FA;A;00001373;00000012;2026-09-16;2026-09-16;210084.3;0.0;1;137.31;0.0
0x9d;00003;02;FA;A;00001374;00000022;2026-09-16;2026-09-16;30829.5;0.0;1;20.15;0.0
0x9d;00003;02;FA;A;00001375;00000295;2026-09-16;2026-09-16;180417.6;0.0;1;117.92;0.0
0x60;01900;05;RC;;00001404;00000056;2026-09-15;2026-09-15;6530.0;2963.05;0;0.0;0.0
0x9d;01900;02;FA;B;19212204;00000343;2026-09-17;2026-09-17;74.24;74.24;0;0.0;0.0
0x60;01900;05;RC;;00001413;00000056;2026-09-16;2026-09-16;620.0;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212205;00000200;2026-09-21;2026-09-21;3753.76;0.0;0;0.0;0.0
0x9d;01900;02;FA;A;00000276;00000006;2026-09-21;2026-09-21;521.18;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212206;00000296;2026-09-21;2026-09-21;150.03;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212207;00000344;2026-09-21;2026-09-21;512.79;0.0;0;0.0;0.0
0x9d;01900;02;FA;A;00000277;00000353;2026-09-21;2026-09-21;89.13;0.0;0;0.0;0.0
0x9d;01900;02;FA;B;19212208;00000355;2026-09-21;2026-09-21;146.97;146.97;0;0.0;0.0
0x9d;01900;02;FA;B;19212209;00000037;2026-09-21;2026-09-21;992.76;0.0;0;0.0;0.0
